filename,answer,elapsed
im0132,0,0.390625
im0320,0,0.046875
im0086,1,0.078125
im0001,0,0.09375
im0011,0,0.0625
im0156,0,0.140625
im0272,0,0.046875
im0355,1,0.09375
im0229,0,0.078125
im0210,1,0.078125
im0256,0,0.03125
im0046,0,0.09375
im0238,0,0.046875
im0041,0,0.03125
im0291,0,0.03125
im0380,0,0.046875
im0134,0,0.046875
im0073,0,0.03125
im0389,0,0.046875
im0378,0,0.046875
im0066,0,0.0625
im0393,0,0.046875
im0145,0,0.046875
im0148,0,0.0625
im0248,1,0.078125
im0100,1,0.0625
im0158,0,0.09375
im0008,0,0.03125
im0131,0,0.046875
im0078,0,0.046875
im0276,0,0.046875
im0323,0,0.046875
im0035,0,0.046875
im0173,1,0.0625
im0088,0,0.078125
im0326,0,0.078125
im0102,0,0.0625
im0247,0,0.03125
im0064,0,0.046875
im0166,0,0.046875
im0231,0,0.046875
im0124,0,0.046875
im0020,1,0.09375
im0373,0,0.0625
im0154,0,0.046875
im0328,0,0.046875
im0317,0,0.046875
im0270,0,0.046875
im0147,0,0.0625
im0181,0,0.046875
im0118,0,0.09375
im0347,0,0.046875
im0394,0,0.046875
im0194,0,0.28125
im0337,1,0.046875
im0285,0,0.046875
im0128,0,0.046875
im0307,0,0.046875
im0354,0,0.046875
im0216,0,0.0625
im0234,0,0.0625
im0182,0,0.0625
im0036,0,0.046875
im0007,0,0.078125
im0353,0,0.046875
im0221,0,0.078125
im0057,0,0.09375
im0397,1,0.078125
im0341,0,0.078125
im0063,0,0.046875
im0125,0,0.0625
im0257,0,0.0625
im0208,0,0.0625
im0183,0,0.078125
im0106,0,0.046875
im0021,1,0.0625
im0340,0,0.15625
im0178,0,0.0625
im0313,0,0.0625
im0374,0,0.046875
im0344,0,0.078125
im0079,0,0.046875
im0395,1,0.15625
im0358,0,0.078125
im0286,0,0.046875
im0382,0,0.0625
im0006,0,0.0625
im0235,0,0.0625
im0240,0,0.0625
im0264,0,0.0625
im0376,0,0.078125
im0012,0,0.0625
im0179,0,0.0625
im0243,0,0.0625
im0141,0,0.0625
im0275,0,0.0625
im0162,0,0.078125
im0303,0,0.0625
im0189,0,0.09375
im0082,0,0.0625
im0095,0,0.0625
im0348,1,0.09375
im0324,0,0.078125
im0241,1,0.078125
im0268,0,0.078125
im0252,0,0.0625
im0104,0,0.0625
im0055,0,0.078125
im0152,0,0.0625
im0022,0,0.0625
im0261,0,0.078125
im0305,0,0.09375
im0127,0,0.09375
im0280,0,0.0625
im0213,0,0.0625
im0111,0,0.078125
im0198,0,0.078125
im0203,0,0.078125
im0254,0,0.078125
